,dt,pm2_5,pm10,co,no2,o3,so2
0,2022-01-01 00:00:00,3.68,5.2,253.68,8.83,39.34,1.82
1,2022-01-01 01:00:00,3.69,5.27,250.34,8.05,38.62,1.86
2,2022-01-01 02:00:00,3.44,4.99,247.0,7.11,38.27,1.71
3,2022-01-01 03:00:00,2.93,4.26,243.66,6.17,38.62,1.33
4,2022-01-01 04:00:00,3.02,4.07,257.02,6.85,37.19,1.03
5,2022-01-01 05:00:00,4.49,5.46,290.39,10.11,32.54,0.95
6,2022-01-01 06:00:00,6.74,7.79,330.45,15.42,26.82,1.18
7,2022-01-01 07:00:00,7.13,8.26,337.12,18.68,23.96,1.48
8,2022-01-01 08:00:00,5.74,6.81,307.08,18.16,25.03,1.64
9,2022-01-01 09:00:00,4.23,5.2,273.7,15.42,28.61,1.59
10,2022-01-01 10:00:00,3.35,4.2,250.34,11.48,33.97,1.36
11,2022-01-01 11:00:00,2.78,3.5,240.33,8.31,39.7,1.1
12,2022-01-01 12:00:00,2.35,2.96,233.65,6.6,45.06,0.93
13,2022-01-01 13:00:00,2.03,2.61,230.31,6.77,47.21,0.91
14,2022-01-01 14:00:00,2.07,2.77,226.97,7.45,47.92,0.95
15,2022-01-01 15:00:00,2.47,3.52,226.97,8.14,49.35,0.97
16,2022-01-01 16:00:00,3.15,4.86,226.97,9.25,50.78,1.01
17,2022-01-01 17:00:00,3.89,6.57,230.31,10.8,49.35,1.1
18,2022-01-01 18:00:00,4.58,7.95,236.99,12.0,46.49,1.21
19,2022-01-01 19:00:00,5.08,8.53,240.33,12.0,45.06,1.33
20,2022-01-01 20:00:00,5.44,8.82,243.66,12.17,43.27,1.45
21,2022-01-01 21:00:00,5.47,8.59,247.0,12.51,40.05,1.53
22,2022-01-01 22:00:00,5.39,8.32,250.34,12.0,37.55,1.48
23,2022-01-01 23:00:00,5.53,8.87,247.0,10.28,37.19,1.28
24,2022-01-02 00:00:00,6.23,10.63,243.66,8.57,37.19,1.12
25,2022-01-02 01:00:00,6.96,11.16,240.33,7.54,38.98,1.01
26,2022-01-02 02:00:00,7.16,10.51,236.99,6.51,41.48,0.92
27,2022-01-02 03:00:00,7.46,10.77,233.65,5.65,43.99,0.88
28,2022-01-02 04:00:00,7.68,11.42,226.97,4.84,47.21,0.86
29,2022-01-02 05:00:00,6.95,10.54,226.97,4.5,50.07,0.79
30,2022-01-02 06:00:00,5.46,7.68,230.31,5.57,50.07,0.78
31,2022-01-02 07:00:00,4.98,6.33,236.99,7.71,48.64,0.92
32,2022-01-02 08:00:00,5.46,6.57,247.0,9.6,44.7,1.1
33,2022-01-02 09:00:00,6.11,7.01,250.34,9.51,42.56,1.25
34,2022-01-02 10:00:00,6.51,7.3,250.34,7.63,44.35,1.33
35,2022-01-02 11:00:00,7.01,7.9,263.69,7.88,40.41,1.56
36,2022-01-02 12:00:00,7.25,8.18,263.69,7.45,39.7,1.59
37,2022-01-02 13:00:00,6.41,7.17,250.34,6.68,43.99,1.56
