#object_id;description;result_timestamp;laf005_per_hour;laf005_per_hour_unit;laf01_per_hour;laf01_per_hour_unit;laf05_per_hour;laf05_per_hour_unit;laf10_per_hour;laf10_per_hour_unit;laf25_per_hour;laf25_per_hour_unit;laf50_per_hour;laf50_per_hour_unit;laf75_per_hour;laf75_per_hour_unit;laf90_per_hour;laf90_per_hour_unit;laf95_per_hour;laf95_per_hour_unit;laf98_per_hour;laf98_per_hour_unit;laf99_per_hour;laf99_per_hour_unit;laf995_per_hour;laf995_per_hour_unit
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 13:00:00.000;73.5;dB(A);71.7;dB(A);65.4;dB(A);62;dB(A);57.1;dB(A);53.2;dB(A);50.1;dB(A);48.4;dB(A);47.8;dB(A);47.4;dB(A);47.1;dB(A);46.8;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 14:00:00.000;74;dB(A);71.1;dB(A);64.6;dB(A);61.4;dB(A);56.9;dB(A);52.5;dB(A);48.9;dB(A);47.1;dB(A);46.4;dB(A);45.9;dB(A);45.6;dB(A);45.4;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 15:00:00.000;71.4;dB(A);69.5;dB(A);65;dB(A);62.5;dB(A);58.8;dB(A);55.3;dB(A);51.8;dB(A);49.3;dB(A);48.2;dB(A);47.5;dB(A);47.1;dB(A);46.8;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 16:00:00.000;69.5;dB(A);67.8;dB(A);63.4;dB(A);60.9;dB(A);57.3;dB(A);53.3;dB(A);49.9;dB(A);48.2;dB(A);47.5;dB(A);47;dB(A);46.8;dB(A);46.6;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 17:00:00.000;73.4;dB(A);72;dB(A);66.1;dB(A);62.8;dB(A);58.5;dB(A);54.2;dB(A);50.6;dB(A);48.5;dB(A);47.6;dB(A);46.9;dB(A);46.5;dB(A);46.2;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 18:00:00.000;71.4;dB(A);69.7;dB(A);65;dB(A);62.2;dB(A);58;dB(A);53.6;dB(A);50.2;dB(A);48.2;dB(A);47.5;dB(A);46.9;dB(A);46.5;dB(A);46.3;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 19:00:00.000;72.8;dB(A);70.5;dB(A);64.8;dB(A);61.1;dB(A);56.3;dB(A);51.6;dB(A);48.3;dB(A);46.9;dB(A);46.5;dB(A);46;dB(A);45.8;dB(A);45.6;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 20:00:00.000;70.7;dB(A);69.4;dB(A);64.9;dB(A);61.8;dB(A);56.8;dB(A);52;dB(A);48.4;dB(A);47;dB(A);46.4;dB(A);46;dB(A);45.7;dB(A);45.5;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 21:00:00.000;69.9;dB(A);67.9;dB(A);62.7;dB(A);59;dB(A);53.1;dB(A);48.9;dB(A);46.9;dB(A);46.1;dB(A);45.7;dB(A);45.3;dB(A);45.1;dB(A);44.9;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 22:00:00.000;68.9;dB(A);67.5;dB(A);62.6;dB(A);59.4;dB(A);53.1;dB(A);48.5;dB(A);46.4;dB(A);45.4;dB(A);44.9;dB(A);44.4;dB(A);44.1;dB(A);43.9;dB(A)
255441;MP 03: Naamsestraat 62 Taste;08/02/2022 23:00:00.000;68.2;dB(A);65.8;dB(A);59.2;dB(A);55.4;dB(A);50.2;dB(A);46.6;dB(A);45;dB(A);44.1;dB(A);43.7;dB(A);43.3;dB(A);43;dB(A);42.8;dB(A)
