#object_id;description;result_timestamp;laf005_per_hour;laf005_per_hour_unit;laf01_per_hour;laf01_per_hour_unit;laf05_per_hour;laf05_per_hour_unit;laf10_per_hour;laf10_per_hour_unit;laf25_per_hour;laf25_per_hour_unit;laf50_per_hour;laf50_per_hour_unit;laf75_per_hour;laf75_per_hour_unit;laf90_per_hour;laf90_per_hour_unit;laf95_per_hour;laf95_per_hour_unit;laf98_per_hour;laf98_per_hour_unit;laf99_per_hour;laf99_per_hour_unit;laf995_per_hour;laf995_per_hour_unit
280324;MP08bis - Vrijthof;15/04/2022 10:00:00.000;57.7;dB(A);55.7;dB(A);50.9;dB(A);49;dB(A);46;dB(A);43.7;dB(A);42;dB(A);41.1;dB(A);40.7;dB(A);40.3;dB(A);40.1;dB(A);39.8;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 11:00:00.000;56.2;dB(A);53.5;dB(A);49.8;dB(A);48.2;dB(A);45.7;dB(A);43.4;dB(A);42.2;dB(A);41.4;dB(A);41;dB(A);40.5;dB(A);40.3;dB(A);40;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 12:00:00.000;57.4;dB(A);54.8;dB(A);50.2;dB(A);48.1;dB(A);45;dB(A);43.2;dB(A);42.1;dB(A);41.4;dB(A);41.1;dB(A);40.8;dB(A);40.6;dB(A);40.5;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 13:00:00.000;60;dB(A);57.8;dB(A);52.7;dB(A);50.1;dB(A);46.9;dB(A);44.6;dB(A);43;dB(A);42.1;dB(A);41.7;dB(A);41.4;dB(A);41.2;dB(A);41;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 14:00:00.000;57.9;dB(A);56.5;dB(A);51.9;dB(A);49.1;dB(A);45.7;dB(A);43.7;dB(A);42.8;dB(A);42.1;dB(A);41.8;dB(A);41.4;dB(A);41.2;dB(A);41;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 15:00:00.000;55.4;dB(A);54;dB(A);49.7;dB(A);47.6;dB(A);45;dB(A);43.4;dB(A);42.5;dB(A);41.8;dB(A);41.5;dB(A);41.2;dB(A);41;dB(A);40.8;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 16:00:00.000;57.5;dB(A);55.5;dB(A);48.9;dB(A);46.3;dB(A);43.8;dB(A);42.7;dB(A);41.9;dB(A);41.4;dB(A);41.1;dB(A);40.8;dB(A);40.6;dB(A);40.5;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 17:00:00.000;53.8;dB(A);52.1;dB(A);48.5;dB(A);46.5;dB(A);44.3;dB(A);43;dB(A);42.3;dB(A);41.7;dB(A);41.4;dB(A);41.2;dB(A);41;dB(A);40.8;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 18:00:00.000;58.8;dB(A);55.7;dB(A);49.3;dB(A);47.8;dB(A);45.8;dB(A);44.1;dB(A);42.9;dB(A);42.1;dB(A);41.7;dB(A);41.4;dB(A);41.1;dB(A);40.9;dB(A)
280324;MP08bis - Vrijthof;15/04/2022 19:00:00.000;57.1;dB(A);54.9;dB(A);50.1;dB(A);48.9;dB(A);47.1;dB(A);44.9;dB(A);43.1;dB(A);42.1;dB(A);41.7;dB(A);41.2;dB(A);41;dB(A);40.8;dB(A)
